link,jobPostNumber,score,date,designation,country,city,jobPostText
https://whova.com//event-job/engineering-mechanics-institute-conference-2026-job-opportunities/,0,9,2026-06-14,graduate students,United States,Unknown,"
Research opportunity at Univeristy of Utah


University of Utah

 At the Integrated Multiphysics Lab, we are seeking two graduate students currently residing in the United States for the following research positions:(1) Computational Solid Mechanics & Machine Learning(2) Experimental Mechanics at the Micro/Nanoscale for Multiphysics ApplicationsInterested applicants should send their application materials to pania.newell@utah.edu.
                                
                                
Link:
                                https://newell.mech.utah.edu
                                
                        



"
https://whova.com//event-job/sigmod-pods-2026-job-opportunities/,3,9,2026-06-14,AI Software Intern,Hong Kong,Hong Kong,"
AI Software Intern


Huawei Hong Kong Research Center

 AI Software Intern (6-month Full-time)Company: Huawei Hong Kong Research CenterWe focus on cutting-edge LLM R&D for the HarmonyOS ecosystem, developing edge and cloud large model algorithms for Huawei smartphones and PCs, and optimizing models for terminal deployment.Key ResponsibilitiesResearch advanced LLM technologies, conduct algorithm design, implementation and iteration. Perform model quantization, compression, distillation and inference acceleration under terminal resource constraints. Build evaluation benchmarks, run experiments and compile technical reports. Collaborate with teams to deploy and optimize algorithms on HarmonyOS devices, and keep track of latest industry technologies.RequirementsBachelor/Master/PhD students majoring in Computer Science, AI or related fields, able to work full-time for 6 consecutive months. Solid knowledge of deep learning and LLM fundamentals, familiar with Transformer architecture. Proficient in Python and mainstream frameworks such as PyTorch. Experience in LLM fine-tuning, compression or edge deployment is preferred. Strong problem-solving ability and team player.BenefitsReceive one-on-one guidance from senior experts and participate in core industrial LLM projects. Enjoy competitive salary, official internship certificate and priority for full-time opportunities.Location: Huawei Hong Kong Research CenterDuration: 6 months (Immediate onboarding preferred)
                                
                                
Link:
                                None
                                
                        



"
https://whova.com//event-job/sigmod-pods-2026-job-opportunities/,4,9,2026-06-14,Software Engineer,Unknown,Unknown,"
Software Engineer


Databricks, Inc

 We are looking for PhDs in Data Systems to build the next generation of incremental engines.
                                
                                
Link:
                                https://www.linkedin.com/posts/iritwik_enzyme-incremental-view-maintenance-for-activity-7466203170701008896-0wt8
                                
                        



"
https://whova.com//event-job/sigmod-pods-2026-job-opportunities/,6,9,2026-06-14,PhD and Postdoc,Singapore,Singapore,"
PhD and Postdoc


Nanyang Technological University

 We are hiring PhDs and Postdocs to work at the intersection of databases and AI, focusing on: 1) developing techniques for LLM powered data processing at scale, 2) redesigning databases using AI, and 3) usability of AI in systems for reliable data work. Other related aspects are also of interest, and happy to chat!
                                
                                
Link:
                                https://yiminl18.github.io/
                                
                        



"
https://whova.com//event-job/sigmod-pods-2026-job-opportunities/,15,9,2026-06-14,Principal Research Scientist,Unknown,Unknown,"
Principal Research Scientist, Database Systems


MongoDB

 Create and lead a research team, conduct innovative research in query optimization, indexing methods, storage engines, modern hardware, and performance optimization. Collaborate with MongoDB engineering. Publish in SIGMOD, VLDB, etc.
                                
                                
Link:
                                https://grnh.se/sxqlo8q31us
                                
                        



"
https://whova.com//event-job/2026-ieee-international-conference-on-communications-job-opportunities/,2,9,2026-06-14,PhD Student,Canada,Concordia,"
PhD Positions in Secure, Trustworthy, and Resilient AI Systems


Concordia University

 Our research group at Concordia University, Canada has several funded positions in 2026-27 for highly motivated doctoral students in the areas of cyber security and artificial intelligence with applications to smart energy, transportation, and cities, and other infrastructures.The positions may be supported by the Concordia University Research Chair in AI in Cyber Security and Resilience, the NSERC-HydroQuebec-Hitachi Partnership Research Chair in Smart Grid Security, and/or other academic and industry-academia research projects with, e.g., Ericsson.Please feel free to check my website for more information if you have a strong interest and background in related fields. We may also have openings for summer research exchange , Master’s, and postdoc positions. 
                                
                                
Link:
                                https://www.concordia.ca/faculty/jun-yan.html
                                
                        



"
https://whova.com//event-job/2026-ieee-international-conference-on-communications-job-opportunities/,4,9,2026-06-14,Research Assistant/Postdoctoral Research Associate,United Kingdom,London,"
RA/PDRA in Decentralised AI/FL for CyberSecurity


Queen Mary University of London

 Research Assistant/Postdoctoral Research Associate (RA/PDRA) positions within my research group at Queen Mary University of London (QMUL): https://lnkd.in/edGtYH6XThese roles are more suitable to UK-based candidates who have recently completed, or are nearing completion of, a PhD in Computer Science or a related discipline.The research focus areas are as follows:- Primary Focus: Cybersecurity, specifically requiring expertise in decentralized intrusion detection and migration systems.- Secondary Focus: Edge AI and decentralized learning.We’re looking for candidates with a strong record of research excellence and advanced software development skills for systems-level research.The formal application links will be published in due course. If your expertise aligns with the areas above, please send a direct message or email to ahmed.sayed@qmul.ac.uk with your current CV and any details on why you are a good fit to express your early interest.
                                
                                
Link:
                                https://www.linkedin.com/in/ahmedmabdelmoniem
                                
                        



"
https://whova.com//event-job/recomb-2026-job-opportunities/,0,9,2026-06-14,Applied Scientist/Senior Applied Scientist,Unknown,Unknown,"
Applied Scientist/Senior Applied Scientist


Amazon

 Build state-of-the-art ML and deep-learning models for biology on an Amazon Special Projects team. Strong focus on protein biology and design — language models, structure, generative design — shipped as real products on AWS.You bring: PhD in CS / ML / comp-bio, expert ML+DL with hands-on protein biology, strong Python. Nice to have: publications at NeurIPS / ICML / ICLR / RECOMB / ISMB, experience taking research models to production.DM on Whova.
                                
                                
Link:
                                None
                                
                        



"
https://whova.com//event-job/recomb-2026-job-opportunities/,1,9,2026-06-14,Applied Scientist Intern (PhD),Unknown,Unknown,"
Applied Scientist Intern (PhD)


Amazon

 Applied Scientist Intern (PhD) — (Bioinformatics + ML for Biology)Drive a project end to end on either track or both: bioinformatics algorithms (sequence indexing, alignment, sketching, assembly, metagenomics) or ML / DL models for biology (protein language models, structure, generative design, large-scale sequence learning). Build on AWS, publish what works.You bring: PhD in progress (CS / ML / comp-bio / bioinformatics), strong algorithms or ML+DL foundations, fluent Python; C++ a plus for algorithm work, PyTorch / JAX a plus for ML work. Nice to have: publications at RECOMB / ISMB / NeurIPS / ICML / ICLR, background in genomics, metagenomics, or protein biology.DM on Whova.
                                
                                
Link:
                                None
                                
                        



"
https://whova.com//event-job/recomb-2026-job-opportunities/,2,9,2026-06-14,Postdoctoral Researcher,Unknown,Unknown,"
postdoc in microbiome bioinformatics


Sano Centre for Computational Medicine

 We are looking for a postdoctoral researcher to lead the biological and translational side of a four-year project building microbiomeGPT - a generative foundation model of the human gut microbiome — and fine-tuning it into a personalized digital twin for disease prediction and intervention simulation. The work builds directly on our recent preprint, GUT-FORMer (ref. www.biorxiv.org/content/10.64898/2026.01.16.699869v1).
                                
                                
Link:
                                https://careers.iscb.org/jobs/view/9927
                                
                        



"
